,dt,address,status,lat,lon,zone,zestimate
1,2018-06-04,500 Jean Marie,Construction Complete,38.500442,-122.748414,,638417.1111111111
3,2019-09-20,5072 Fig Tree,In Construction,38.487612,-122.662072,,987446.8888888889
4,2019-10-18,286 Angela,In Construction,38.493213,-122.737163,,753085.6666666666
7,2019-12-13,5784 Heights,In Construction,38.521992,-122.705913,,1157380.7777777778
9,2019-12-10,2759 Bennett Ridge,"Permit Issued, Construction Pending",38.396659,-122.59318,,1227280.0
12,2018-06-01,520 Jean Marie,Construction Complete,38.500276,-122.747901,,640719.3333333334
14,2018-06-20,4693 Wallace,"Permit Issued, Construction Pending",38.510065,-122.691649,,1522133.3333333333
16,2018-05-29,2663 Bennett Ridge,In Construction,38.401373,-122.598561,,1021270.5555555555
17,2019-07-09,1347 Michele,"Permit Issued, Construction Pending",38.513794,-122.720441,,701269.4444444445
18,2018-04-25,212 Meadowcroft,In Construction,38.497358,-122.702296,,1143794.3333333333
19,2018-05-11,4490 Old Redwood,In Construction,38.49401,-122.743277,,656647.4444444445
20,2018-10-01,518 Carriage,Construction Complete,38.504093,-122.745101,,704392.0
21,2019-03-16,3541 Oakhaven,In Construction,38.499569,-122.701853,,939269.6666666666
22,2018-05-30,4673 Katie Lee,Construction Complete,38.500402,-122.747391,,632555.7777777778
25,2019-08-15,8542 Hwy,In Construction,38.428218,-122.551123,,1333843.7777777778
26,2018-05-17,3700 Rolling Oaks,Construction Complete,38.498087,-122.675453,,1641968.111111111
27,2018-03-26,260 Darbster,Construction Complete,38.495219,-122.746543,,729830.8888888889
28,2018-07-13,1630 Mark West Springs,In Construction,38.524428,-122.71908,,1070419.111111111
29,2018-09-04,1335 Wikiup,"Permit Issued, Construction Pending",38.510809,-122.746355,,836030.2222222222
31,2018-05-31,135 Treehaven,In Construction,38.421437,-122.55542,,1348485.5555555555
32,2019-01-04,4977 Upper Ridge,In Construction,38.51865,-122.67418,,1511467.888888889
33,2018-04-24,4112 Wallace,Construction Complete,38.497113,-122.684818,,880233.8888888889
34,2017-12-29,11377 Vineyard Springs,Construction Complete,38.554603,-122.69128,,1104061.111111111
35,2018-11-09,989 Mark West Springs,Construction Complete,38.507612,-122.723918,,1667269.4444444445
36,2018-09-13,905 Quietwater,"Permit Issued, Construction Pending",38.510705,-122.728714,,2043130.0
37,2018-08-14,5559 Fox Hunt,Construction Complete,38.527108,-122.724798,,1080117.7777777778
39,2018-10-02,5450 Linda,In Construction,38.518002,-122.714498,,791006.2222222222
40,2018-07-20,3870 Mountain Home Ranch,In Construction,38.565609,-122.646012,,922919.6666666666
41,2019-10-03,1165 Mark West Springs,In Construction,38.509444,-122.718895,,747417.1111111111
42,2018-03-22,2534 Cresta,Construction Complete,38.547921,-122.717116,,849063.1111111111
44,2018-06-01,679 Jean Marie,Construction Complete,38.502302,-122.746415,,661921.0
46,2018-07-30,5851 Mark West,Construction Complete,38.529607,-122.727934,,758615.8888888889
47,2018-12-21,2613 Trinity,In Construction,38.389621,-122.485512,,1855593.5555555555
48,2019-02-01,210 Willowgreen,In Construction,38.492917,-122.744668,,667406.5555555555
49,2019-04-05,4901 Harville,In Construction,38.494878,-122.662571,,1004422.8888888889
50,2019-07-09,1493 Mark West Springs,In Construction,38.51671,-122.72076,,693838.8888888889
51,2019-03-01,1169 Sundown,Construction Complete,38.507165,-122.717414,,970398.875
53,2018-06-26,4548 Brighton,Construction Complete,38.496742,-122.743498,,627206.3333333334
54,2018-10-12,5427 Blue Ridge,In Construction,38.52481,-122.724537,,1092781.2222222222
55,2018-10-15,12600 Dunbar,In Construction,38.375178,-122.522205,,1639366.888888889
56,2019-07-16,5180 Warm Springs,In Construction,38.365239,-122.527444,,897604.5555555555
57,2019-08-19,390 Treehaven,In Construction,38.419241,-122.556642,,1175156.111111111
58,2019-06-28,1420 London Ranch,In Construction,38.362033,-122.531571,,1482943.7777777778
59,2018-11-02,5115 Vista Grande,In Construction,38.510388,-122.741229,,1029178.4444444445
60,2018-08-21,27 Brighton,Construction Complete,38.497295,-122.746831,,627835.5555555555
61,2019-03-11,4570 Brighton,In Construction,38.498074,-122.745004,,638957.3333333334
62,2018-06-06,380 Treehaven,Construction Complete,38.418997,-122.556981,,1202258.5555555555
63,2018-06-12,3500 Rolling Oaks,In Construction,38.499073,-122.679464,,1618640.888888889
65,2019-05-30,4842 Carriage,In Construction,38.50417,-122.742155,,737165.8888888889
66,2018-12-06,5990 Mark West,In Construction,38.52858,-122.729476,,879603.8888888889
67,2018-12-19,128 Ursuline,In Construction,38.495548,-122.741279,,642649.3333333334
68,2018-09-20,4551 Ranchette,Construction Complete,38.485152,-122.674148,,677329.2222222222
69,2018-10-01,5190 Odonnell,In Construction,38.364316,-122.527655,,831688.2222222222
70,2018-05-17,822 Adobe Canyon,In Construction,38.433702,-122.550065,,1302169.111111111
71,2019-03-25,1344 Wikiup,In Construction,38.511497,-122.74742,,907146.1111111111
72,2019-04-12,1287 Mark West Springs,"Permit Issued, Construction Pending",38.512782,-122.719732,,769646.2222222222
73,2019-08-27,129 Ursuline,In Construction,38.49536,-122.742322,,590435.7777777778
74,2019-07-03,5155 Warm Springs,In Construction,38.366166,-122.527843,,906026.6666666666
75,2018-09-20,5450 Wilshire,Construction Complete,38.516912,-122.710841,,854518.2222222222
76,2018-09-17,3474 Deer Trail,In Construction,38.484141,-122.680897,,917052.6666666666
77,2018-04-11,5535 Idlewood,In Construction,38.518557,-122.699234,,1330511.0
78,2019-06-21,5245 Vista Grande,In Construction,38.515548,-122.744144,,930356.6666666666
79,2018-09-27,47 Ursuline,Construction Complete,38.493471,-122.742364,,644780.7777777778
81,2018-04-11,5250 Odonnell,Construction Complete,38.364054,-122.526753,,913762.2222222222
83,2018-05-21,723 Jean Marie,Construction Complete,38.50241,-122.747363,,674985.7777777778
85,2018-04-16,4544 Brighton,Construction Complete,38.496379,-122.743491,,618380.8888888889
86,2018-05-30,3710 Wallace,Construction Complete,38.487668,-122.677229,,928030.0
87,2019-05-31,5111 Foothill Ranch,In Construction,38.512702,-122.703039,,1511954.7777777778
88,2018-05-23,1435 Calistoga,In Construction,38.489106,-122.661562,,777632.5555555555
89,2018-06-26,5400 Alpine,In Construction,38.526866,-122.664632,,1844878.5555555555
90,2018-07-19,144 Ursuline,Construction Complete,38.496282,-122.741191,,632558.1111111111
91,2018-05-31,4680 Katie Lee,Construction Complete,38.500887,-122.747515,,643165.1111111111
92,2018-06-04,591 Jean Marie,Construction Complete,38.5004,-122.745325,,647632.4444444445
93,2019-12-17,5245 Winter Creek,"Permit Issued, Construction Pending",38.517683,-122.703661,,1209453.7777777778
94,2019-01-24,3730 Bastoni,In Construction,38.505757,-122.699657,,1510999.6666666667
97,2018-07-20,1965 Dennis,Construction Complete,38.483073,-122.750153,,637469.4444444445
98,2018-12-14,2700 Lovall Valley,Construction Complete,38.299679,-122.414464,,2296539.0
99,2019-04-29,12350 Margie,In Construction,38.385099,-122.485809,,1425629.3333333333
100,2019-03-25,6070 Heights,In Construction,38.525016,-122.702004,,943046.2222222222
101,2018-01-16,4809 Upper Ridge,In Construction,38.517504,-122.674553,,1513568.5555555555
102,2018-04-24,2707 Bennett Ridge,In Construction,38.400361,-122.59649,,1098646.6666666667
103,2018-09-06,10 Chelsea,Construction Complete,38.49521,-122.745505,,635129.0
104,2018-07-30,2774 Rollo,In Construction,38.397263,-122.598409,,962748.6666666666
105,2018-10-05,5557 Fox Hunt,Construction Complete,38.527108,-122.724798,,1080117.7777777778
106,2018-08-24,21 Oxford,Construction Complete,38.496398,-122.746504,,717764.5555555555
107,2018-07-12,285 Darbster,Construction Complete,38.495035,-122.747047,,728609.4444444445
108,2019-12-12,3737 Wood Valley,"Permit Issued, Construction Pending",38.286022,-122.411239,,2211542.5555555555
109,2019-03-08,4559 Ranchette,In Construction,38.485156,-122.673633,,646912.1111111111
110,2018-06-28,4171 Old Vineyard,Construction Complete,38.500409,-122.710552,,1836614.0
111,2018-10-03,3885 Cavedale,In Construction,38.369672,-122.464184,,1755400.6666666667
112,2018-02-21,9733 Via Bella,In Construction,38.403403,-122.560595,,1965340.125
113,2018-02-05,4150 Old Redwood,In Construction,38.492953,-122.72778,,888867.0
114,2018-11-21,5501 Foothill Ranch,In Construction,38.515342,-122.697582,,1368377.4444444445
115,2018-11-29,3993 Mountain Home Ranch,In Construction,38.576596,-122.6534,,1386078.6666666667
116,2019-02-08,5429 Wilshire,In Construction,38.51652,-122.713961,,803035.8888888889
117,2018-07-20,155 Dorchester Ct,In Construction,38.496543,-122.74313,,613157.7777777778
118,2018-06-01,124 Pacific Heights,Construction Complete,38.502043,-122.747524,,664730.7777777778
119,2018-06-04,2831 Bristol,In Construction,38.395991,-122.577709,,1742491.7777777778
120,2019-12-19,1385 Michele,"Permit Issued, Construction Pending",38.51371,-122.721734,,734352.7777777778
121,2018-10-15,7000 Foothill Ranch,Construction Complete,38.518686,-122.677516,,1497124.5555555555
122,2017-08-14,2017 Redwood Hill,"Permit Issued, Construction Pending",38.537457,-122.715214,,1022854.8888888889
123,2019-11-04,309 Pacific Heights,"Permit Issued, Construction Pending",38.501442,-122.743745,,660850.3333333334
124,2018-10-29,2395 Lawndale,In Construction,38.400541,-122.570686,,1600403.111111111
125,2019-05-07,1879 Mark West Springs,Construction Complete,38.530524,-122.725943,,760663.8888888889
126,2019-11-04,5467 Linda,In Construction,38.518544,-122.715362,,762922.0
127,2019-04-19,5265 Wikiup,In Construction,38.509657,-122.746018,,896795.4444444445
128,2019-04-03,270 Darbster,In Construction,38.49532,-122.746659,,723434.6666666666
129,2018-11-09,4188 Bayberry,In Construction,38.501823,-122.703281,,880421.0
130,2018-12-07,11444 Vineyard Springs,In Construction,38.551923,-122.69136,,1036694.0
131,2019-05-23,1739 Mark West Springs,In Construction,38.527851,-122.723523,,1034077.2222222222
132,2019-04-19,5601 Crystal,"Permit Issued, Construction Pending",38.521398,-122.71098,,961575.4444444445
133,2018-08-21,233 Dover Ct,In Construction,38.500492,-122.742892,,635534.5555555555
135,2019-05-16,12297 Adine,In Construction,38.384204,-122.518924,,1292904.6666666667
137,2018-10-29,9600 Franz Valley School,In Construction,38.580169,-122.642199,,1319817.111111111
138,2018-09-25,1263 Riebli,Construction Complete,38.510597,-122.717436,,724459.3333333334
139,2019-04-08,12386 Margie,In Construction,38.384444,-122.487282,,1398811.111111111
140,2018-06-22,199 Pacific Heights,Construction Complete,38.503113,-122.746136,,705292.7777777778
141,2018-05-29,33 Ramsgate,Construction Complete,38.498344,-122.749772,,400667.6666666667
142,2018-07-10,2715 Bennett Ridge,In Construction,38.400051,-122.595972,,1100911.4444444445
143,2018-11-08,1420 Lorraine,In Construction,38.514853,-122.722364,,758157.3333333334
144,2018-06-01,669 Jean Marie,Construction Complete,38.502184,-122.745965,,642308.0
145,2018-07-12,70 Brighton,In Construction,38.497574,-122.745361,,624525.8888888889
146,2017-11-07,3949 Wallace,"Permit Issued, Construction Pending",38.493232,-122.682755,,1340429.7777777778
147,2019-09-12,200 Twin Pillar,"Permit Issued, Construction Pending",38.48899,-122.681683,,1223572.111111111
148,2018-03-23,4000 Porter Creek,In Construction,38.551868,-122.681123,,1141526.0
149,2018-05-31,429 Pacific Heights,Construction Complete,38.498922,-122.745527,,707801.4444444445
151,2019-03-18,160 Adobe Canyon,Construction Complete,38.426232,-122.553141,,1197277.0
154,2019-04-10,5246 Winter Creek,In Construction,38.514804,-122.704252,,1269957.111111111
155,2018-05-07,1010,In Construction,38.510678,-122.724216,,1614025.7777777778
156,2018-08-03,5467 Dana,Construction Complete,38.519446,-122.710206,,789227.7777777778
157,2018-05-15,176 Wembley,Construction Complete,38.49809,-122.742422,,619472.0
158,2019-01-28,2518 Mark West Springs,"Permit Issued, Construction Pending",38.548113,-122.71898,,828561.2222222222
159,2018-05-08,5186 Odonnell,In Construction,38.36434,-122.527835,,903821.5555555555
160,2019-01-29,1494 Mark West Springs,In Construction,38.516668,-122.71958,,702232.8888888889
161,2019-02-14,5894 Heights,In Construction,38.521612,-122.702925,,1087371.7777777778
162,2018-11-02,4353 Wallace,In Construction,38.506143,-122.689699,,1211868.888888889
163,2019-03-07,201 Ursuline,In Construction,38.498521,-122.741168,,603718.5555555555
164,2018-03-13,17 Oxford,Construction Complete,38.496124,-122.7466,,711846.2222222222
165,2018-05-08,1650 Castle,In Construction,38.300584,-122.429977,,2994809.222222222
166,2018-04-27,957 Quietwater,In Construction,38.512437,-122.730513,,1761101.5555555555
168,2018-04-19,140 Willowgreen,Construction Complete,38.493541,-122.745666,,678941.2222222222
171,2018-09-17,425 Adobe Canyon,In Construction,38.431146,-122.554463,,1423179.5555555555
172,2018-04-23,2811 Bardy,Construction Complete,38.395101,-122.598232,,1088657.888888889
173,2018-06-01,301 Pacific Heights,Construction Complete,38.501665,-122.743859,,670083.6666666666
174,2019-04-08,4315 Deer Trail,In Construction,38.485474,-122.678514,,862659.4444444445
175,2018-12-05,5730 Idlewood,In Construction,38.52072,-122.701511,,1240195.0
176,2019-09-26,12250 Dunbar,In Construction,38.38112,-122.521858,,1497344.2222222222
177,2018-06-04,205 Ursuline,Construction Complete,38.498722,-122.741149,,600593.4444444445
178,2018-04-19,547 Mark West Springs,In Construction,38.50412,-122.735065,,722724.4444444445
179,2018-07-25,5232 Odonnell,In Construction,38.364166,-122.527151,,887780.1111111111
180,2018-11-30,5475 Linda,In Construction,38.519341,-122.71553,,825091.5555555555
181,2019-03-04,5170 Wikiup Bridge,In Construction,38.509509,-122.733326,,1569712.3333333333
182,2018-07-26,2326 Mark West Springs,In Construction,38.542941,-122.714749,,1052179.7777777778
183,2018-12-27,5545 Crystal,In Construction,38.519095,-122.713065,,892154.3333333334
184,2019-07-18,47 Brighton,In Construction,38.497581,-122.746296,,620553.4444444445
185,2019-12-23,4940 Carriage,"Permit Issued, Construction Pending",38.505236,-122.745198,,790195.8888888889
186,2018-06-26,18186 7Th St,Construction Complete,38.305353,-122.433388,,2799183.222222222
187,2018-05-16,5360 Wikiup Bridge,Construction Complete,38.509065,-122.73943,,1183833.888888889
188,2018-05-30,4650 Aptos,Construction Complete,38.502605,-122.743245,,670004.6666666666
189,2019-04-18,4878 Upper Ridge,In Construction,38.516777,-122.668753,,1600515.3333333333
190,2019-05-28,3540 Oakhaven,In Construction,38.498745,-122.702475,,1091243.2222222222
191,2019-03-01,9441 Franz Valley School,In Construction,38.587497,-122.647935,,872018.0
192,2018-10-12,5180 Odonnell,Construction Complete,38.364385,-122.528002,,934471.3333333334
193,2018-05-21,5152 Wikiup Bridge,In Construction,38.50935,-122.734801,,1330946.5555555555
194,2018-08-09,2923 Old Bennett Ridge,Construction Complete,38.393266,-122.59338,,1134045.4444444445
195,2018-12-19,5100 Lavender,In Construction,38.514305,-122.70893,,931728.8888888889
196,2019-01-15,4850 Wikiup Bridge,In Construction,38.504704,-122.735801,,760659.3333333334
197,2019-01-11,12324 Adine,In Construction,38.383489,-122.519895,,1269318.2222222222
198,2018-08-09,243 Bonnie,In Construction,38.381473,-122.519649,,1553552.2222222222
199,2019-08-21,3300 Rolling Oaks,"Permit Issued, Construction Pending",38.497503,-122.681263,,1181811.4444444445
200,2018-12-24,5855 Mark West,In Construction,38.529607,-122.727934,,758615.8888888889
202,2019-02-19,1491 Michele,In Construction,38.516695,-122.722435,,726900.7777777778
203,2019-04-04,6650 Lower Ridge,In Construction,38.513155,-122.673221,,1927329.5555555555
204,2018-12-26,5200 Wikiup Bridge,In Construction,38.514166,-122.736024,,1177014.4444444445
206,2018-09-12,1760 Donner,In Construction,38.51554,-122.710383,,816308.1111111111
207,2019-02-20,1122 Wikiup,In Construction,38.508571,-122.742078,,961668.4444444445
208,2018-03-28,5775 Blue Gate,In Construction,38.522247,-122.687082,,1811753.888888889
209,2019-01-09,4820 Wagon Wheel,In Construction,38.488571,-122.669086,,763028.6666666666
210,2018-07-09,3945 Wallace,In Construction,38.493032,-122.681995,,1369027.4444444445
211,2018-06-15,4300 Rolling Oaks,In Construction,38.502209,-122.671757,,1781623.6666666667
